name,Other Names,Temperament/Personality,Physical Characteristics,Colors,Height (size),Weight,Blood Type,Common Uses,Health,Gaited,Popular Traits,Feeding/Diet,Country of Origin,Ancestors,Breed Registry/Association,Behavioral Characteristics/ Personality,Physical Traits/Description,Coat Colors,Height/Size,Lifespan/Longevity,Health Problems,Type,Top Speed,"Associations, Registries & Breed Standards",Behavioral Characteristics & Temperament,Physical Traits,Ancestors (Bloodlines),Associations and Registries,Temperament and Personality,Physical Description,Lifespan,What are they used for,Height (Size),Diet (How much does a Belgian Draft horse eat),Behavioral Characteristics,Life Expectancy,Care,Time of Origin,Also Known As,Common Use,Year/Time of Development,Alternative Names,Recognized by,Children Riding,Time of Development,Other Names/Nicknames,Physical Descriptions/Traits,Lifespan/Expectancy,Movements,Life Span/ Life Expectancy,Breed Information,Origin,Pronunciation,Behavioral Characteristics/Qualities,Lifespan/Life Expectancy,Good For,Conservation Status,Exercise Needs,Care Requirements,Trainability,Diet/Feeding/Drinking,Behavioral Traits,Popular For,Suitable for first-time owners,Developed in,Suitable for New/Novice Owners,Height,Color,Common uses,Health problems,Feeding/ diet,Breed registry/Association,Common Nicknames,Size,Physical description,Gait,Temperamental Characteristics,Physical Descriptions,Blood Horse Type
Icelandic,"Islenzki hesturinn, Icelandic pony, Iceland Tolter, Icelandic toelter horse","Patient, uncomplicated, spirited, adaptable, friendly, easy going","Well-proportioned head, straight profile, wide forehead; short, muscular neck with a broad base, broad and low withers, deep chest, slightly sloping and muscular shoulders, long back, short, muscular, and broad croup, strong legs, short pasterns, long cannon bones, full tail and mane","Gray, chestnut, black, palomino, pinto, roan, dun, bay","13-14 hands (52-56 inches, 132-142 cm)",730-840 lb (330-380 kg),Cold-blooded,"Traditional sheepherding, showing, leisure riding, and racing",No known diseases specific to the breed; the Icelandic government has taken strict measures for their protection,"Yes; walk, trot, canter/gallop; a four-beat ambling gait called tölt, and a smooth pace called flugskeið, skeið, or “flying pace”","Unique gaits, sturdily built, amiable disposition, ability to carry weight on rough terrain, easy to maintain","A mix of alfalfa, soya meal, linseed, flaked maize, vitamin supplement",Iceland,"Faroe and Yakut ponies; Fjord, Mongolian, and Nordlandshest horses","The Icelandic Horse Society of Great Britain, United States Icelandic Horse Conference",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lusitano,Puro Sangue Lusitano,,,,,"Medium Size;
900-1100 pounds",Warm,"General riding, Show, Performances, Bullfighting",,,"Multi-talented, athletic, elegant springy action, strong presence, can display a high degree of flexion in hind legs, intelligent, fast learner, submissive temperament","General horse diet including hay, grass, grains, etc.",Portugal,,,,,"Gray, bay and chestnut are most common. However, black, dun and palomino are also found",15-16 hands (adult mares and stallions),,Generally strong and healthy,"Sport horse, Riding horse, Show horse",,,,"The profile is convex with a deep, short-coupled body and a large head, almond-shaped eyes, sturdy, arched neck, a sloped croup and short cannon bones; the mane and the low-set tail is dense and graceful",Sorraia Horse (others unknown),"International Andalusian & Lusitano Horse Association
APSL (Portugal)
Breed Standard",,,25-30 years,,,,"Noble, generous, ardent, gentle, enduring, courageous, friendly, kind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangalarga Paulista,,,,,,975 pounds,,"Jumping, dressage, work, endurance, general riding",,,"Smooth-gaited, multi-talented, excellent in jumping, easily trainable, durable","General horse diet including hay, grass, grains, etc.",Brazil (Iberian Peninsula),,,,,"Black, white, brown, bay, gray, chestnut, dun, buckskin, palomano, perlino, cremello, roan, champagne, and grullo",14.2 – 16 hands (adult stallions and mares),,Healthy in general; no known breed-specific issues,"Cattle Horse, Riding Horse, Sports Horse, Transportation Horse",,,,"Have a straight profile with the head being triangular; the eyes are large and dark while the ears are erect with the tips turned inwards; the neck is muscular and arched, and the chest is deep and well-built; they have a medium back with straight, long, well-muscled legs","Barb Horse, Spanish Jennet",Breed Standards and Breed Association,,,,,,,"Docile, willing, noble, intelligent",,,,,,,,,Yes,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maremmano,,,,"Gray, brown, black, roan",15.3 hands,1047 pounds,Warm-blooded,"Work, general riding, endurance",,,"Versatile, strong and hardy, easily trainable","General horse diet consisting of hay, grass, grains, vegetables, etc.",Italy,,,,,,,,The breed is generally healthy. No breed-specific health issues. Owners must ensure to maintain a healthy lifestyle and regular vet checkups,,,,,,"Thoroughbreds, Norfolk Roadsters",,,,,,,,"Docile disposition, obedient temperament; amiable, loyal, intelligent, easily trainable",,,,,,,,,,,Tuscan Horse,"Long, moderately-heavy head, muscular neck getting broad at the base; high, well-muscled withers; full chest with sloping shoulders; short back with a sloping croup; they have solid legs and a sturdy structure with good joints and strong hooves",30-31 years,"Even, energetic trots with long strides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature,"Mini Horse, Mini Pony",,,,,225 pounds,Cold,No particular uses; kept as pets,,,"Hardy, easy to keep, easily trainable, low maintenance cost","General horse diet including hay, grass, grains, etc.","UK, USA",,,,,"Common colors include black, gray, white, pintaloosa, pinto",8.2 hands (adult male and female),,"Prone to pick up a few issues including dwarfism, eclampsia, hyperlipemia, brachygnathism, colic, crowding, prognathism, and obesity","Sports horse, Show horse",,,,"Despite having a short stature, the body is well-proportioned and strong; has a short head with a sturdy neck and slightly curved back with medium to short mane; the legs are strongly-built while the tail is long and dense",Shetland pony and Dartmoor pony,American Miniature Horse Association,,,,,,,"Gentle, lively, adaptable, eager, friendly",25 to 30 years; up to 35 years,,1600s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian,,"Calm, reliable and friendly (after being accustomed to the rider).","Short, stocky build, strong legs, large head, strong and hard hooves","Dun, Black, Bay, Shun, White, Brown, Roan, Grey, Palomino",,Can weigh about 600 pounds (272 kg),,,Generally healthy with no known breed-related ailments.,Yes (Mostly decides his own gait while the rider is engrossed in other chores like tending cattle).  [1],"Athletic, strong, energetic, requires low maintenance","Mostly eat tall grasses and hay along with foliage, fruit, bark and plants with a rough texture. Drinks less amount of water or even eats snow in winter when in the wild.",Mongolia,,,,,,,,,,,,,,,,,,,,12 to 14 hands (48-56 inches;  122cm to 142 cm),,,,,,,"General riding, hunting, endurance riding, racing, mounted athletics like polo, racing and for work.","Though the exact date of development of these traditional horses has not been known, they gained prominence in the 13th century.",,,,,,,,,20 to 40 years ( working till they are 18 years old),Has not yet been recognized by any breed organizations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Forest Pony,,"Docile, easy to train, courageous, intelligent","Small head, thickly-furred ears with pointed tips, stocky and muscular body, short back, deep, narrow chest, sloping croup, low-set tail, thick winter coat and mane","Black, bay/brown, roan, chestnut, dun, gray, and occasionally white; seasonal color changes may occur","11-14.2 hands (44-58 inches, 112-147 cm)",400-800 lbs (180-360 kg),Unknown,"Pleasure riding, driving, as show horse, light draft work","The ponies should be vaccinated against tetanus, rhinopneumonitis, and influenza","Balanced, comfortable movement","Sturdiness, willingness to work, sure-footedness, can live on little food","Grass, hay, small quantity of vitamins and minerals",,"Connemara, Dartmoor, Fell, Exmoor, New Forest, Highland, and now-extinct Galloway pony",Newfoundland Pony Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newfoundland, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Fjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percheron,,"Calm, placid, proud, alert, intelligent","Head with a straight profile, large eyes, broad forehead, medium-sized ears, deep cheek, strong neck, deep well-laid shoulders, wide chest, strong and short back, wide, deep ribs, clean, heavily-muscled legs and feet","Gray or black, with partial white markings on heads and legs are allowed in Britain and France; chestnut, bay, and roan are also allowed in the US","15.1-18.1 hands (61-73 inches, 155-185 cm) in France, 16.2-17.3 hands (65-71 inches, 168-180 cm) in the US, more than 16.1 hands (64.4 inches, 164 cm) in Great Britain","1,100-2,600 lbs (500-1,200 kg) in France, 1,900-2,600 lbs (860-1,200 kg) in the US, 1,800-2,200 lbs (820-1,000 kg) in Great Britain",Cold-blooded,"Originally used as war horses; pulling stagecoaches and carriages, hauling heavy goods, agriculture, farm work, riding, dressage, show jumping, meat production, crossed with other breeds",Equine Polysaccharide Storage Myopathy (EPSM) and arterial occlusion may affect some horses,"Yes; straight, bold movement with long free strides","Good-natured, energetic, willing workers, easy keepers, adapts well to harsh climates and conditions","Forage, including pasture, hay pellets or cubes, vitamin and mineral supplements",France,"Arabian, Oriental, Spanish, Boulonnais, Moorish horses","Percheron Horse Association of America, Les Haras Nationaux (France), British Percheron Horse Society",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rican Paso Fino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland,Shetland,,,,,Light; 450 pounds,Warm,"Riding (especially children), dressage, show and pack purposes",,,"Small size, multi-talented, good in jumping, adaptable, overall docile personality",,"Shetland Isles (Scotland, UK)",,,,,"Black, bay, dun, roan, brown, chestnut, gray, brown and part-colored","Up to 11 hands (adult)
(Registered individuals must not exceed 10.2 hands)",,"Both foals and stallions/mares are sturdy, with no specific diseases","Riding Pony, Show Pony, Guide Pony, Cart pony, Mining pony, Working Pony (both commercial and domestic)",,,,"Short body with a small but well-proportioned head, small and erect ears, dark eyes, and a well-set neck covered by dense, long-hanging mane; the shoulder is sloped, while the legs and feet are short but solid and tough ending in strong hooves (modern American subtypes are more refined)",Uncertain,"The Shetland Pony Stud-Book Society (UK)
American Shetland Pony Club (USA)",,,,,,,,,,,,,,,,,,,,,,,,,‘Shett-lundPow-nee’,"Highly intelligent, lively, headstrong, independent, adaptable, affectionate",30 years,Slightly experienced owners,DOM,Minimum,Less,Moderate,"Normal equine diet including hay, grass, grains, etc.",,,,,,,,,,,,,,,,,,
Shire,,,"The structure is massive, with a big head, large eyes; the long neck is slightly arched ending in a wide chest and broad shoulders; the legs are muscular with the perfect hocks set for maximum leverage; the back of the legs are covered with dense feathering while the hooves are round and large",,,Heavy; 1800 pounds,Cold,"General riding, dressage, eventing, pulling hefty goods",,,,"General horse diet including hay, grass, grains, etc.",England (UK),,,,,"Black, Bay, Gray, Chestnut (traditional colors)","Large;
Stallions: 17 hands (68 inches or 173 cm);
Mares: 16 hands (64 inches or 163 cm);
Geldings: 16.2 hands (66 inches or 168 cm)
(Up to 21.2 hands)",,Healthy in general; no specific diseases,"Cart Horse, Heavy Draft Horse, Riding Horse, Sports Horse, Show Horse, Parade Horse",,,,,"The Great Horse, Packington Blind Horse, Friesan, Flanders","American Shire Horse Association
Breed Standards",,,,,,,,25-30 years,,End of 16th to beginning of 17th century,,,,,,,,,,,,,,,,,,,,,,,,"Mild-mannered, noble, willing, adaptable, gentle","Extremely powerful, multi-talented, easily trainable",Yes,,,,,,,,,,,,,,,
STBDNor Standardbred (Norway),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Warmblood,"Einsiedler, Swiss Half bred",,,"Black, buckskin, dun, roan, champagne, perlino, cremello, grullo, brown, palomino, gray, chestnut, bay",,1500 pounds,Warm blood,,No know breed specific health problems,,,,Switzerland,Anglo-Norman horse; Yorkshire Coach horse; Holsteiners,,,,,,,,,,,,,,,"Calm, gentle., willing, easy-to-train, loyal, fun loving, well-mannered, alert and intelligent","Small head; straight and slightly convex profile; expressive ears; alert eyes; deep, well-muscled chest; prominent withers; sloping croup; long, hard legs; well-defined tendons; and short cannons",30 years,"General riding, endurance riding, dressage, hunting",15.1 to 16.2 hands,Hay and grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10th century,,,,,,,,,,,,,,
 Thoroughbred (UK/Ire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Thoroughbred (US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clydesdale,,,,,,1950 pounds approx. (heavy),Cold,"General riding, eventing, show, work",,,"Multi-talented, excellent in stepping (high steps), easy trainability, durable","General horse diet including hay, grass, grains, etc.",Scottland,,,,,"Bay is the most common, but also black, gray, roan and pinto",Up to 18 hands (adult),,Healthy,"Draught Horse, Show Horse, Work Horse (forestry and agriculture), Patrol Horse, Parade Horse",,,,"The structure is large with a straight profile and a handsome head, with stout shoulders and chest, a long, crested neck and high withers; the feet silky feathers on the back and are flat and open that are fitted for walking through hard surfaces (rather than for plowing); the legs are long and well-shaped (with the hind quarters being longer than other draft breeds)","Shire Horse, local breeds",The Clydesdale Horse Society,,,,,,,"Noble, friendly, brave, active, versatile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
Fell Pony,,"Steady, lively, alert, intelligent and independent",,,,Unknown,,,,"Regular, sure-footed with hock and knee action","Reliable jumpers, sturdy built and feathered legs",,"Cumbria, England",,,,,,,,,,,,,"Hardy with a strong flat bone; small head; broad forehead; large nostrils; prominent and intelligent eyes; neatly set ears; proportionate neck length,  moderate crest and sloping shoulders;",Dales Pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 hands (approx.),"Black, brown, Chestnut, bay and Grey, / white marking on or below the hind fetlock ( excess white marking is eligible for registration but discouraged by the breeders)","Pleasure Riding,Pack-Work, and  Shepherding","FPS (Fell Pony Syndrome), commonly occurring in the foals of this breed.","Pasture, hay (grass), vitamin supplement, free-choice minerals, and probiotics","Fell Pony Society
·Fell Pony Society of North America",,,,,,,
Morgan,,,,,,950 pounds,Warm,"Endurance riding, general riding, jumping, racing, competitive trail riding, driving",,,"Multi-talented (versatile), easy trainability, intelligent, adaptable to harness, easy to keep",,USA,"Welsh Cob, Thoroughbred, Arabian and Barb",,,,"12 common coat colors, with the most common ones  including black, chestnut, gray, and piebald",14.1 to 15.2 hands (adult male and female average),,Normally a healthy breed with no breed-specific problems,"Sports horse, Show horse, Trail Riding horse, Pleasure Riding horse, Harness Racing horse",,,,"Has a large body with a deep girth and a straight profile with the head being medium-sized that is tapered down to the muzzle; the neck is upright and graceful, while the shoulder is sloping and is strongly-built while the chest and the back are broad; the legs are well-formed having strong joints with symmetrical hind legs and quarters; the tail is characteristically straight and flowing",,American Morgan Horse Association,,,,,,,"Versatile, brave, spirited, adaptable, eager, friendly",Around 30 years,Needs minimum forage; requires little or no grain supplement,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddlebred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardbred (US),Trotter Pacer,"Intelligent, willing, easy-to-train, people-oriented, loyal","Muscular stature with straight, refined head; broad forehead, shallow mouth, large nostrils, well-defined withers, long and heavy muscles, strong shoulders; medium to long, slightly-arched, muscular neck; solidly-built legs with tough hooves","Brown, black, bay, gray, chestnut, roan",14-17 hands (142-173 cm),"360-450 kg (800-1,000 lbs)",Warm-blooded,"Harness racing, pleasure riding, trail riding, dressage; as sport horse in eventing, show hunter, show jumping; as light buggy horses by the Amish people",Some Standardbreds are known to suffer from problems with joints and bones,"Yes; a racing gait called the trot, a two-beat lateral gait known as the pace, and another one called the canter","Strength, stamina, agility, versatility","Grass, hay, whole or crimped oats, steamed or soaked whole barley, cracked or crushed corn",United States of America,"Thoroughbred, Hackney, Morgan, Norfolk Trotter, Canadian Pacer, Narragansett Pacer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breed Registry with Breed standards,,,,,,,,,,,,,,,,,,,,,,STB,,,,,,
